Step,Positive-Dominant,Negative-Dominant,GRPO
7,0.101077765,0.10253498,0.099157073
14,0.08385431,0.110881835,0.098751478
21,0.065710269,0.119608603,0.096363872
28,0.047464348,0.125917628,0.092550769
35,0.033190295,0.13326937,0.089121506
42,0.026228184,0.144804969,0.083685264
49,0.022663375,0.15237096,0.079561368
56,0.020829516,0.162603259,0.074753068
63,0.019494865,0.17851074,0.070394225
70,0.018754154,0.18675001,0.06483496
77,0.018160058,0.190803811,0.059892181
84,0.017481249,0.198833331,0.056736026
91,0.01734177,0.207963035,0.053437613
98,0.016995424,0.210480437,0.051073045
105,0.016792703,0.223250195,0.047500685
112,0.016484192,0.222580135,0.045326695
119,0.016040137,0.235000953,0.043121584
126,0.015787164,0.242405459,0.041057084
133,0.015624743,0.257544249,0.040719651
140,0.015566452,0.25646162,0.038626507
