Step,easy-biased,hard-biased,GRPO
1,86,86,86
2,100,100,100
3,78,81,92
4,72,81,84
5,71,69,63
6,72,83,76
7,70,69,80
8,65,70,82
9,58,66,63
10,68,87,84
11,58,64,61
12,65,64,64
13,68,68,63
14,55,53,54
15,67,64,70
16,64,66,67
17,52,61,60
18,63,67,72
19,63,76,68
20,61,67,63
21,59,62,52
22,57,58,58
23,59,68,71
24,60,62,58
25,62,71,69
26,52,53,53
27,58,61,54
28,68,74,78
29,64,63,67
30,55,62,60
31,53,60,60
32,50,53,54
33,56,57,54
34,61,63,56
35,67,70,70
36,58,59,55
37,60,68,73
38,62,66,58
39,69,74,70
40,59,57,57
41,58,56,59
42,53,60,61
43,53,54,55
44,61,48,55
45,58,60,68
46,67,70,71
47,63,52,61
48,47,51,48
49,68,57,61
50,52,52,48
51,67,66,65
52,51,57,56
53,61,58,54
54,56,53,52
55,68,69,74
56,56,48,57
57,51,57,55
58,53,55,52
59,59,61,52
60,67,70,61
61,63,62,63
62,60,47,50
63,73,60,68
64,49,53,52
65,52,55,56
66,72,70,67
67,53,44,51
68,78,75,79
69,62,65,63
70,53,45,46
71,59,56,65
72,52,54,52
73,66,64,64
74,48,54,53
75,54,51,46
76,71,70,73
77,50,43,48
78,54,48,50
79,59,62,66
80,57,50,55
81,61,60,53
82,63,57,58
83,68,57,63
84,55,52,56
85,53,54,59
86,51,53,51
87,60,59,54
88,58,56,60
89,59,48,51
90,66,60,67
91,47,46,47
92,56,53,55
93,56,53,51
94,49,47,57
95,64,54,59
96,63,58,68
97,46,45,53
98,68,62,63
99,60,50,58
100,60,47,59
101,62,63,56
102,52,46,47
103,63,64,64
104,50,46,46
105,60,56,60
106,47,43,49
107,54,48,52
108,46,38,44
109,54,49,54
110,64,59,63
111,71,72,69
112,57,50,50
113,58,50,51
114,63,53,56
115,61,53,60
116,55,49,56
117,54,46,51
118,65,55,60
119,55,49,54
120,61,43,49
121,52,45,49
122,68,61,66
123,63,53,58
124,69,61,63
125,50,45,48
126,55,42,52
127,54,49,55
128,62,53,53
129,55,49,51
130,59,49,52
131,67,54,61
132,53,55,52
133,48,41,43
134,57,49,55
135,56,53,55
136,44,41,44
137,56,46,62
138,47,47,45
139,67,45,59
140,52,42,53
