Step,easy-biased,hard-biased,grpo
7,0.739287145,0.742090509,0.746095314
14,0.749299159,0.745694834,0.75030036
21,0.755706848,0.75030036,0.752102523
28,0.765518622,0.74989988,0.756307569
35,0.758510212,0.756307569,0.764717661
42,0.760512615,0.754505406,0.762314778
49,0.766519824,0.75710853,0.7639167
56,0.767721266,0.765518622,0.764317181
63,0.770124149,0.764317181,0.764717661
70,0.771926312,0.760512615,0.759911894
77,0.770324389,0.761914297,0.764317181
84,0.769323188,0.768121746,0.758710453
91,0.768922707,0.766720064,0.761513817
98,0.769523428,0.767320785,0.763115739
105,0.768522227,0.768522227,0.76411694
112,0.766,0.776720064,0.76371646
119,0.769323188,0.770517421,0.766566567
126,0.77092511,0.774525831,0.767320785
133,0.77,0.773253504,0.766920304
140,0.77092511,0.772,0.764317181
