Step,stable,collapse
1,0.489379883,0.489379883
2,0.49609375,0.49609375
3,0.536621094,0.536621094
4,0.576171875,0.576171875
5,0.609130859,0.609130859
6,0.640258789,0.640258789
7,0.656616211,0.656616211
8,0.683959961,0.683959961
9,0.727172852,0.727172852
10,0.740234375,0.740234375
11,0.75378418,0.75378418
12,0.771362305,0.771362305
13,0.773681641,0.773681641
14,0.789916992,0.789916992
15,0.782836914,0.782836914
16,0.797729492,0.797729492
17,0.801269531,0.801269531
18,0.784423828,0.784423828
19,0.787841797,0.787841797
20,0.797851563,0.797851563
21,0.814575195,0.814575195
22,0.798828125,0.798828125
23,0.796142578,0.796142578
24,0.813842773,0.813842773
25,0.801147461,0.801147461
26,0.810791016,0.810791016
27,0.810180664,0.810180664
28,0.799316406,0.799316406
29,0.815307617,0.815307617
30,0.815673828,0.815673828
31,0.804321289,0.804321289
32,0.812988281,0.812988281
33,0.81262207,0.81262207
34,0.816772461,0.816772461
35,0.80480957,0.80480957
36,0.811401367,0.811401367
37,0.798828125,0.798828125
38,0.813720703,0.813720703
39,0.817626953,0.817626953
40,0.824707031,0.824707031
41,0.807250977,0.807250977
42,0.818725586,0.818725586
43,0.823120117,0.823120117
44,0.82043457,0.82043457
45,0.819702148,0.819702148
46,0.815185547,0.815185547
47,0.810668945,0.810668945
48,0.830078125,0.830078125
49,0.796630859,0.796630859
50,0.818969727,0.818969727
51,0.819824219,0.819824219
52,0.810668945,0.810668945
53,0.812011719,0.812011719
54,0.821166992,0.821166992
55,0.813598633,0.813598633
56,0.825439453,0.825439453
57,0.832397461,0.832397461
58,0.824951172,0.824951172
59,0.823730469,0.823730469
60,0.805175781,0.805175781
61,0.802978516,0.802978516
62,0.823486328,0.823486328
63,0.814453125,0.804453125
64,0.827026367,0.817026367
65,0.816162109,0.826162109
66,0.798950195,0.808950195
67,0.818359375,0.808359375
68,0.791015625,0.796015625
69,0.802124023,0.80824023
70,0.824707031,0.81707031
71,0.813964844,0.8204844
72,0.807861328,0.80961328
73,0.82043457,0.8143457
74,0.825073242,0.82273242
75,0.818481445,0.8201445
76,0.801025391,0.801025391
77,0.841186523,0.841186523
78,0.836914063,0.836914063
79,0.809448242,0.809448242
80,0.822265625,0.822265625
81,0.815795898,0.815795898
82,0.821044922,0.821044922
83,0.80480957,0.80480957
84,0.837646484,0.837646484
85,0.843383789,0.843383789
86,0.814819336,0.814819336
87,0.811767578,0.811767578
88,0.825561523,0.825561523
89,0.827392578,0.827392578
90,0.82019043,0.82019043
91,0.83581543,0.83581543
92,0.835083008,0.835083008
93,0.830810547,0.830810547
94,0.844482422,0.844482422
95,0.825439453,0.825439453
96,0.811767578,0.811767578
97,0.831542969,0.831542969
98,0.818481445,0.818481445
99,0.827514648,0.827514648
100,0.824462891,0.824462891
101,0.806274414,0.806274414
102,0.839111328,0.839111328
103,0.8125,0.8125
104,0.832763672,0.832763672
105,0.830200195,0.830200195
106,0.829467773,0.829467773
107,0.82824707,0.82824707
108,0.822753906,0.822753906
109,0.826416016,0.826416016
110,0.822143555,0.822143555
111,0.815063477,0.815063477
112,0.807495117,0.807495117
113,0.833740234,0.833740234
114,0.831787109,0.831787109
115,0.821044922,0.821044922
116,0.827392578,0.827392578
117,0.815551758,0.815551758
118,0.821289063,0.821289063
119,0.805541992,0.805541992
120,0.818481445,0.818481445
121,0.833862305,0.833862305
122,0.802734375,0.802734375
123,0.821411133,0.821411133
124,0.814697266,0.814697266
125,0.82434082,0.82434082
126,0.831054688,0.831054688
127,0.839233398,0.839233398
128,0.824951172,0.824951172
129,0.815429688,0.815429688
130,0.822631836,0.822631836
131,0.818603516,0.818603516
132,0.827392578,0.827392578
133,0.81237793,0.81237793
134,0.828125,0.828125
135,0.802124023,0.802124023
136,0.820800781,0.820800781
137,0.80456543,0.80456543
138,0.826538086,0.826538086
139,0.817626953,0.817626953
140,0.836791992,0.836791992
